"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.866034551E3,-3.054326226E-4,1.527163084E-3,-1.221730490E-3
1.866084551E3,-1.527163084E-3,1.527163084E-3,0.000000000E0
1.866134551E3,9.162978968E-4,1.527163084E-3,0.000000000E0
1.866184551E3,-3.054326226E-4,3.054326226E-4,1.221730490E-3
1.866234551E3,-3.054326226E-4,-9.162978968E-4,0.000000000E0
1.866284551E3,-2.748893574E-3,-7.635815418E-4,-2.443460980E-3
1.866334551E3,-1.527163084E-3,-9.162978968E-4,0.000000000E0
1.866384551E3,9.162978968E-4,-3.207042580E-3,0.000000000E0
1.866434551E3,-1.527163084E-3,3.054326226E-4,0.000000000E0
1.866484551E3,-3.054326226E-4,-9.162978968E-4,0.000000000E0
1.866534551E3,-3.054326226E-4,-9.162978968E-4,0.000000000E0
1.866584551E3,2.138028387E-3,-9.162978968E-4,0.000000000E0
1.866634551E3,9.162978968E-4,3.054326226E-4,0.000000000E0
1.866684551E3,-3.054326226E-4,-9.162978968E-4,0.000000000E0
1.866734551E3,-3.054326226E-4,-9.162978968E-4,0.000000000E0
1.866784551E3,9.162978968E-4,-9.162978968E-4,-1.221730490E-3
1.866834551E3,-3.054326226E-4,-9.162978968E-4,0.000000000E0
1.866884551E3,-3.054326226E-4,3.054326226E-4,1.221730490E-3
1.866934551E3,-3.054326226E-4,-9.162978968E-4,0.000000000E0
1.866984551E3,-3.054326226E-4,3.054326226E-4,0.000000000E0
1.867034551E3,-1.527163084E-3,3.054326226E-4,0.000000000E0
1.867084551E3,9.162978968E-4,2.748893574E-3,0.000000000E0
1.867134551E3,-3.054326226E-4,3.054326226E-4,0.000000000E0
1.867184551E3,-3.054326226E-4,-2.138028387E-3,0.000000000E0
1.867234551E3,-3.054326226E-4,-9.162978968E-4,0.000000000E0
1.867284551E3,2.138028387E-3,-9.162978968E-4,0.000000000E0
1.867334551E3,9.162978968E-4,3.054326226E-4,-1.221730490E-3
1.867384551E3,2.138028387E-3,-9.162978968E-4,-1.221730490E-3
1.867434551E3,2.138028387E-3,-9.162978968E-4,0.000000000E0
1.867484551E3,-3.054326226E-4,3.054326226E-4,1.221730490E-3
1.867534551E3,-3.054326226E-4,3.054326226E-4,-1.221730490E-3
1.867584551E3,-3.054326226E-4,3.054326226E-4,-1.221730490E-3
1.867634551E3,-1.527163084E-3,3.054326226E-4,0.000000000E0
1.867684551E3,-3.054326226E-4,3.054326226E-4,0.000000000E0
1.867734551E3,9.162978968E-4,3.054326226E-4,-1.221730490E-3
1.867784551E3,9.162978968E-4,-9.162978968E-4,1.221730490E-3
1.867834551E3,9.162978968E-4,-9.162978968E-4,-1.221730490E-3
1.867884551E3,9.162978968E-4,3.054326226E-4,0.000000000E0
1.867934551E3,9.162978968E-4,3.054326226E-4,0.000000000E0
1.867984551E3,9.162978968E-4,-9.162978968E-4,-1.221730490E-3
1.868034551E3,-3.054326226E-4,3.054326226E-4,0.000000000E0
1.868084551E3,-1.527163084E-3,3.054326226E-4,0.000000000E0
1.868134551E3,-3.054326226E-4,1.527163084E-3,0.000000000E0
1.868184551E3,-3.054326226E-4,3.054326226E-4,0.000000000E0
1.868234551E3,-3.054326226E-4,-9.162978968E-4,0.000000000E0
1.868284551E3,-1.527163084E-3,3.054326226E-4,0.000000000E0
1.868334551E3,9.162978968E-4,-9.162978968E-4,0.000000000E0
1.868384551E3,-3.054326226E-4,-9.162978968E-4,0.000000000E0
1.868434551E3,9.162978968E-4,3.054326226E-4,0.000000000E0
1.868484551E3,9.162978968E-4,3.054326226E-4,0.000000000E0
1.868534551E3,9.162978968E-4,-9.162978968E-4,0.000000000E0
1.868584551E3,-3.054326226E-4,-9.162978968E-4,1.221730490E-3
1.868634551E3,-1.527163084E-3,3.054326226E-4,0.000000000E0
1.868684551E3,-3.054326226E-4,3.054326226E-4,0.000000000E0
1.868734551E3,-1.527163084E-3,3.054326226E-4,0.000000000E0
1.868784551E3,-1.527163084E-3,-9.162978968E-4,0.000000000E0
1.868834551E3,2.138028387E-3,3.054326226E-4,0.000000000E0
1.868884551E3,-3.054326226E-4,3.054326226E-4,0.000000000E0
1.868934551E3,-3.054326226E-4,3.054326226E-4,0.000000000E0
1.868984551E3,2.138028387E-3,-9.162978968E-4,0.000000000E0
1.869034551E3,-3.054326226E-4,4.581489484E-4,1.374446787E-3
1.869084551E3,-3.054326226E-4,-1.985311974E-3,1.527163113E-4
1.869134551E3,-3.054326226E-4,4.581489484E-4,1.527163113E-4
1.869184551E3,-2.748893574E-3,4.581489484E-4,1.527163113E-4
1.869234551E3,-1.527163084E-3,-7.635815418E-4,1.527163113E-4
1.869284551E3,-3.054326226E-4,4.581489484E-4,1.527163113E-4
1.869334551E3,-1.527163084E-3,4.581489484E-4,1.527163113E-4
1.869384551E3,9.162978968E-4,-7.635815418E-4,1.527163113E-4
1.869434551E3,9.162978968E-4,-7.635815418E-4,1.527163113E-4
1.869484551E3,2.138028387E-3,-7.635815418E-4,1.527163113E-4
1.869534551E3,9.162978968E-4,-7.635815418E-4,-1.069014193E-3
1.869584551E3,-3.054326226E-4,-7.635815418E-4,-1.069014193E-3
1.869634551E3,-3.054326226E-4,-7.635815418E-4,1.527163113E-4
1.869684551E3,-3.054326226E-4,4.581489484E-4,1.374446787E-3
1.869734551E3,-3.054326226E-4,-1.985311974E-3,1.527163113E-4
1.869784551E3,-3.054326226E-4,1.679879380E-3,1.527163113E-4
1.869834551E3,-1.527163084E-3,4.581489484E-4,1.527163113E-4
1.869884551E3,9.162978968E-4,4.581489484E-4,1.527163113E-4
1.869934551E3,9.162978968E-4,-7.635815418E-4,1.527163113E-4
1.869984551E3,-3.054326226E-4,-7.635815418E-4,-1.069014193E-3
1.870034551E3,9.162978968E-4,4.581489484E-4,1.527163113E-4
1.870084551E3,9.162978968E-4,4.581489484E-4,1.374446787E-3
1.870134551E3,-3.054326226E-4,1.679879380E-3,1.527163113E-4
1.870184551E3,-1.527163084E-3,4.581489484E-4,-1.069014193E-3
1.870234551E3,-2.748893574E-3,-7.635815418E-4,1.527163113E-4
1.870284551E3,-1.527163084E-3,-7.635815418E-4,1.527163113E-4
1.870334551E3,2.138028387E-3,-7.635815418E-4,1.527163113E-4
1.870384551E3,-3.054326226E-4,4.581489484E-4,1.527163113E-4
1.870434551E3,9.162978968E-4,4.581489484E-4,1.374446787E-3
1.870484551E3,-3.054326226E-4,4.581489484E-4,1.527163113E-4
1.870534551E3,-3.054326226E-4,4.581489484E-4,1.527163113E-4
1.870584551E3,-3.054326226E-4,-7.635815418E-4,-1.069014193E-3
1.870634551E3,-1.527163113E-4,-9.162978968E-4,1.527163113E-4
1.870684551E3,-1.374446787E-3,1.527163084E-3,1.527163113E-4
1.870734551E3,-1.527163113E-4,1.527163084E-3,1.374446787E-3
1.870784551E3,-1.374446787E-3,3.054326226E-4,1.527163113E-4
1.870834551E3,-1.374446787E-3,3.054326226E-4,1.374446787E-3
1.870884551E3,-1.374446787E-3,3.054326226E-4,1.527163113E-4
1.870934551E3,-1.527163113E-4,3.054326226E-4,1.527163113E-4
1.870984551E3,1.069014193E-3,-9.162978968E-4,1.527163113E-4
1.871034551E3,-1.527163113E-4,3.054326226E-4,1.374446787E-3
1.871084551E3,2.290744567E-3,3.054326226E-4,-1.069014193E-3
1.871134551E3,-1.527163113E-4,-9.162978968E-4,-1.069014193E-3
1.871184551E3,-1.374446787E-3,3.054326226E-4,1.527163113E-4
1.871234551E3,1.069014193E-3,-9.162978968E-4,1.527163113E-4
1.871284551E3,-1.527163113E-4,1.527163084E-3,1.527163113E-4
1.871334551E3,-1.374446787E-3,3.054326226E-4,1.527163113E-4
1.871384551E3,-1.527163113E-4,1.527163084E-3,-1.069014193E-3
1.871434551E3,1.069014193E-3,3.054326226E-4,1.527163113E-4
1.871484551E3,1.069014193E-3,-3.359758761E-3,-1.069014193E-3
1.871534551E3,2.290744567E-3,1.527163084E-3,1.527163113E-4
1.871584551E3,1.069014193E-3,-9.162978968E-4,1.527163113E-4
1.871634551E3,1.069014193E-3,-2.138028387E-3,1.527163113E-4
1.871684551E3,-1.527163113E-4,3.054326226E-4,1.374446787E-3
1.871734551E3,-1.527163113E-4,2.748893574E-3,1.374446787E-3
1.871784551E3,-1.374446787E-3,-9.162978968E-4,1.527163113E-4
1.871834551E3,-1.374446787E-3,3.054326226E-4,1.527163113E-4
1.871884551E3,-1.527163113E-4,-2.138028387E-3,1.527163113E-4
1.871934551E3,-1.527163113E-4,-2.138028387E-3,-1.069014193E-3
1.871984551E3,1.069014193E-3,-9.162978968E-4,1.374446787E-3
1.872034551E3,2.290744567E-3,-2.138028387E-3,1.527163113E-4
1.872084551E3,1.069014193E-3,-2.138028387E-3,1.527163113E-4
1.872134551E3,1.069014193E-3,3.054326226E-4,1.527163113E-4
1.872184551E3,-1.527163113E-4,3.054326226E-4,1.527163113E-4
1.872234551E3,-1.527163113E-4,3.054326226E-4,1.374446787E-3
1.872284551E3,-3.054326226E-4,2.901609987E-3,0.000000000E0
1.872334551E3,-3.054326226E-4,-1.985311974E-3,-1.221730490E-3
1.872384551E3,-1.527163084E-3,-1.985311974E-3,0.000000000E0
1.872434551E3,-1.527163084E-3,1.679879380E-3,0.000000000E0
1.872484551E3,-1.527163084E-3,1.679879380E-3,0.000000000E0
1.872534551E3,-3.054326226E-4,-7.635815418E-4,0.000000000E0
1.872584551E3,9.162978968E-4,-7.635815418E-4,0.000000000E0
1.872634551E3,-3.054326226E-4,-7.635815418E-4,0.000000000E0
1.872684551E3,-3.054326226E-4,-7.635815418E-4,0.000000000E0
